GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
computer,com.calculator,Calculator.new ActionListener() {...},9,6,0,0,2,1,1,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},17,6,4,0,3,1,3,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},6,6,0,0,2,1,1,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},12,6,0,0,3,1,1,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},22,6,2,0,5,1,2,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},25,6,2,0,7,1,2,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},0,15,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,57,5,7,0,7,5,3,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,12,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,26,1,1,0,5,1,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new WindowAdapter() {...},3,6,0,0,2,1,1,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},21,6,0,0,6,1,1,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},20,6,0,0,7,1,1,1,1,1
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator,5,999,3,59,2,176,4,36,1,8
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
computer,com.calculator,Calculator.new ActionListener() {...},44,6,4,0,10,1,3,1,1,1
